20,-0.01,-0.0025
40,-0.02,-0.005
60,-0.02,-0.00625
80,0.0,-0.00625
100,0.0,-0.00625
120,-0.01,-0.006328125
140,-0.02,-0.0064062500000000005
160,-0.02,-0.0064453125000000005
180,-0.09,-0.006533203125
200,-0.15,-0.08153320312500001
220,-0.32,-0.16653320312500003
240,-0.63,-0.32153320312499994
260,-0.95,-0.4815332031249999
280,-0.59,-0.3015332031249999
300,-0.4,-0.20653320312500004
320,-0.17,-0.09153320312500002
340,0.13,0.058466796875
360,-0.46,-0.23653320312500004
380,0.35,0.16846679687499996
400,-0.65,-0.33153320312499995
420,-0.05,-0.031533203125
440,-0.55,-0.28153320312499996
460,-0.84,-0.4265332031249999
480,-0.52,-0.26653320312499995
500,0.45,0.21846679687499998
520,-0.16,-0.08653320312500001
540,0.67,0.3284667968750001
560,0.6,0.29346679687500005
580,0.52,0.25346679687500007
600,0.35,0.16846679687499996
620,0.1,0.043466796875
640,0.0,-0.006533203125
660,0.0,-0.006533203125
680,0.0,-0.006533203125
700,0.0,-0.006533203125
720,0.0,-0.006533203125
740,0.0,-0.006533203125
760,0.0,-0.006533203125
780,0.0,-0.006533203125
800,0.0,-0.006533203125
820,0.0,-0.006533203125
840,0.0,-0.006533203125
860,0.0,-0.006533203125
880,0.0,-0.006533203125
900,0.0,-0.006533203125
920,0.0,-0.006533203125
940,0.0,-0.006533203125
960,0.0,-0.006533203125
