13, -0.07, 0.10, 1.00
12, -0.07, 0.11, 1.02
14, -0.09, 0.13, 1.01
13, -0.10, 0.14, 1.03
13, -0.08, 0.11, 1.01
13, -0.06, 0.10, 1.01
13, -0.07, 0.09, 1.00
13, -0.08, 0.09, 1.00
13, -0.11, 0.10, 1.00
14, -0.11, 0.09, 0.99
13, -0.10, 0.08, 0.94
12, -0.10, 0.03, 0.97
14, -0.09, -0.04, 0.88
13, -0.13, -0.07, 0.85
13, -0.10, -0.05, 0.31
14, 0.03, -0.09, -0.06
12, -0.01, -0.11, 0.06
13, 0.00, -0.08, 0.10
13, -0.01, -0.05, 0.10
14, 0.01, 0.00, 0.10
13, -0.01, 0.00, 0.12
12, -0.01, 0.03, 0.14
14, 1.99, 1.93, 2.00
13, 0.36, -2.00, 1.37
13, 1.94, 0.01, 0.14
14, 2.00, -0.25, -2.00
12, -0.35, 0.36, 1.98
13, 0.18, -0.11, 1.11
14, -0.12, -0.04, 1.03
13, -0.20, 0.02, 1.13
13, -0.09, 0.04, 1.03
12, -0.11, 0.07, 0.97
14, 0.03, 0.06, 1.07
13, 0.02, 0.04, 1.04
13, 0.03, 0.03, 1.01
14, -0.00, 0.04, 1.05
12, -0.01, 0.04, 1.03
13, -0.01, 0.03, 1.02
14, -0.00, 0.04, 1.05
13, 0.00, 0.03, 1.02
13, -0.00, 0.02, 1.03
13, -0.00, 0.03, 1.06
13, -0.01, 0.03, 1.03
13, -0.00, 0.03, 1.03
13, -0.00, 0.03, 1.03
14, -0.00, 0.03, 1.02
12, -0.01, 0.03, 1.03
13, -0.00, 0.03, 1.04
14, -0.01, 0.02, 1.04
13, -0.02, 0.01, 1.04
13, -0.02, 0.01, 1.04
13, -0.03, -0.00, 1.05
13, -0.03, 0.00, 1.04
13, -0.03, -0.00, 1.02
14, -0.01, -0.00, 1.03
13, 0.02, 0.02, 1.05
12, 0.01, -0.00, 1.03
13, -0.01, 0.02, 1.04
