
17, 0.00, -0.00, 0.03
32, 0.03, -0.00, 0.61
47, 0.02, -0.00, 0.48
62, 0.04, -0.01, 1.00
76, 0.04, -0.01, 1.00
91, 0.00, 0.00, 0.77
106, 0.00, 0.00, 0.78
121, -0.00, 0.00, 0.78
136, 0.00, 0.00, 0.78
151, 0.01, 0.00, 0.78
166, 0.00, 0.00, 0.78
181, 0.00, 0.00, 0.78
196, -0.00, 0.00, 0.77
211, -0.00, 0.00, 0.78
226, 0.00, 0.00, 0.77
241, -0.00, 0.00, 0.76
257, 0.00, -0.00, 0.76
272, -0.00, 0.00, 0.77
286, 0.00, -0.00, 0.77
302, 0.00, 0.00, 0.77
317, 0.00, 0.00, 0.77
331, 0.00, 0.00, 0.77
347, 0.00, 0.00, 0.77
362, 0.00, -0.00, 0.77
377, 0.01, -0.00, 0.76
392, 0.00, 0.00, 0.77
407, -0.00, 0.00, 0.77
422, 0.00, 0.00, 0.77
437, 0.00, -0.00, 0.77
452, 0.00, -0.00, 0.78
467, -0.01, 0.00, 0.77
483, -0.00, 0.00, 0.77
497, -0.00, 0.00, 0.76
513, -0.00, 0.00, 0.76
528, -0.00, -0.00, 0.77
543, -0.00, 0.00, 0.77
558, 0.00, 0.00, 0.78
573, -0.00, 0.00, 0.77
588, 0.00, 0.00, 0.78
603, 0.00, 0.00, 0.78
618, -0.00, 0.00, 0.78
633, -0.00, -0.00, 0.78
649, -0.00, -0.00, 0.78
663, 0.00, 0.00, 0.77
678, 0.00, 0.00, 0.77
694, 0.00, 0.00, 0.77
709, 0.00, 0.00, 0.78
723, 0.00, 0.00, 0.78
739, 0.00, -0.00, 0.77
754, 0.00, -0.00, 0.78
769, 0.01, 0.00, 0.78
784, -0.00, -0.00, 0.77
799, 0.01, -0.00, 0.77
815, 0.00, -0.00, 0.77
829, 0.00, -0.00, 0.77
844, 0.01, 0.00, 0.77
860, -0.00, -0.00, 0.77
874, 0.00, -0.00, 0.77
889, 0.00, -0.00, 0.78
